Economy,Year,Economy Code,Population ages 0-14 (% of total population)
Afghanistan,2022,AFG,43.131
Albania,2022,ALB,16.147
Algeria,2022,DZA,30.643
American Samoa,2022,ASM,27.147
Andorra,2022,AND,12.795
Angola,2022,AGO,45.015
Antigua and Barbuda,2022,ATG,18.547
Argentina,2022,ARG,23.053
Armenia,2022,ARM,20.478
Aruba,2022,ABW,16.241
Australia,2022,AUS,18.180
Austria,2022,AUT,14.378
Azerbaijan,2022,AZE,23.480
"Bahamas, The",2022,BHS,19.063
Bahrain,2022,BHR,20.187
Bangladesh,2022,BGD,25.969
Barbados,2022,BRB,16.925
Belarus,2022,BLR,16.776
Belgium,2022,BEL,16.534
Belize,2022,BLZ,27.739
Benin,2022,BEN,42.431
Bermuda,2022,BMU,14.706
Bhutan,2022,BTN,22.143
Bolivia,2022,BOL,30.828
Bosnia and Herzegovina,2022,BIH,14.869
Botswana,2022,BWA,32.603
Brazil,2022,BRA,20.271
British Virgin Islands,2022,VGB,14.496
Brunei Darussalam,2022,BRN,22.055
Bulgaria,2022,BGR,13.996
Burkina Faso,2022,BFA,43.723
Burundi,2022,BDI,45.771
Cabo Verde,2022,CPV,26.179
Cambodia,2022,KHM,28.949
Cameroon,2022,CMR,42.211
Canada,2022,CAN,15.577
Cayman Islands,2022,CYM,16.764
Central African Republic,2022,CAF,48.135
Chad,2022,TCD,47.509
Channel Islands,2022,CHI,15.151
Chile,2022,CHL,18.319
China,2022,CHN,17.247
Colombia,2022,COL,21.343
Comoros,2022,COM,38.035
"Congo, Dem. Rep.",2022,COD,46.537
"Congo, Rep.",2022,COG,41.051
Costa Rica,2022,CRI,20.189
Cote d'Ivoire,2022,CIV,41.476
Croatia,2022,HRV,14.084
Cuba,2022,CUB,15.721
Curacao,2022,CUW,17.153
Cyprus,2022,CYP,15.929
Czechia,2022,CZE,15.952
Denmark,2022,DNK,16.060
Djibouti,2022,DJI,30.392
Dominica,2022,DMA,19.629
Dominican Republic,2022,DOM,27.108
Ecuador,2022,ECU,25.693
